#TYPE Selected.System.String
"Client","IP"
"DWVMCC50","10.15.128.10"
"ZONBASE2EAGAN","10.15.152.11"
"ZONBASE1EAGAN","10.15.152.12"
"ZBSF6ZC1HD","10.15.152.14"
"Z3Q3BZC1HD","10.15.152.16"
"ZCN3BZC1HD","10.15.152.17"
"ZMXM60602K7HD","10.15.152.18"
"Z7R2LTG1HL","10.15.154.14"
"E350","10.15.154.15"
"Z14WRXC1HD","10.15.154.16"
"ZDLWRXC1HD","10.15.154.20"
"Z7-MJBBFVVHD","10.15.154.21"
"SOLIMARCBO","10.15.154.22"
"Z8MHVHK1HD","10.15.154.24"
"TC2044DR","10.15.154.25"
"TC2038DR","10.15.154.26"
"ZDT96ZC1HD","10.15.154.29"
"ZB8J6ZC1HD","10.15.154.30"
"ZDXZ6ZC1HD","10.15.154.31"
"DWDCMC11","10.15.160.12"
"DWDCFC11","10.15.160.13"
"BWCTXP37","10.15.160.14"
"BWCTXP38","10.15.160.15"
"DWSOLC01","10.15.160.20"
"DWAPPC33","10.15.160.30"
"BWCTXP39","10.15.160.38"
"DWRPTC20","10.15.160.50"
"BWTEMP01","10.15.160.51"
"BWIISP08","10.15.160.52"
"DWALSC02","10.15.161.10"
"DWIISC45","10.15.161.70"
"DWIISC46","10.15.161.71"
"ZR8NGDAMHL","10.15.184.140"
"ZR80FRN8HL","10.15.184.66"
"L7F02212","10.199.137.2"
"D7F09030","10.199.138.111"
"L7F02230","10.199.138.12"
"L7F02084","10.199.138.13"
"L7F02156","10.199.138.132"
"DTF05496","10.199.138.138"
"L7F02215","10.199.138.144"
"L7F02229","10.199.138.18"
"L7F02251","10.199.138.20"
"L7F02232","10.199.138.21"
"D7F09039","10.199.138.225"
"D7F09017","10.199.138.23"
"L7F02231","10.199.138.24"
"D7F09016","10.199.138.244"
"L7F00165","10.199.138.252"
"L7F02704","10.199.138.253"
"D7F09024","10.199.138.32"
"L7F02684","10.199.138.41"
"D7F09025","10.199.138.43"
"L7F00166","10.199.138.54"
"D7F09034","10.199.138.61"
"L7F02171","10.199.138.62"
"D7F09009","10.199.138.67"
"L7F02236","10.199.138.82"
"D7F09021","10.199.138.9"
"D7F09013","10.199.138.92"
"LTF07448","10.199.145.1"
"LTF05092","10.199.146.1"
"L7F02145","10.199.146.14"
"LTF03315","10.199.146.211"
"LTF03549","10.199.146.236"
"LTF06187","10.199.146.27"
"LTF05140","10.199.146.78"
"LTF06308","10.199.146.89"
"DTF02835","10.199.153.61"
"L7F02129","10.199.154.125"
"ZR80FRX8HL","10.199.154.16"
"ZR8NGCYAHL","10.199.154.23"
"DTF02765","10.199.154.230"
"L7F02033","10.199.154.237"
"L7F02110","10.199.154.97"
"L7F02114","10.199.218.50"
"L7F02114","10.199.232.250"
"L7F02238","10.199.237.157"
"AZFFDC02","10.240.100.108"
"AZFFDC01","10.240.100.157"
"S195UP446","10.240.108.12"
"FWADCP40","10.240.108.14"
"S195UP508","10.240.108.19"
"S195UP644","10.240.108.41"
"S195UP645","10.240.108.42"
"AZFFDC04","10.240.93.218"
"AWADCT22","10.28.250.11"
"AWBPWT01","10.28.250.12"
"AWRPTT11","10.28.250.19"
"AWSQAT70","10.28.250.20"
"AWSQBT70","10.28.250.22"
"AWSQBT71","10.28.250.25"
"AWTELT08","10.28.250.27"
"AWVMCP50","10.28.64.50"
"AWVMCT50","10.28.64.51"
"AWTEMP01","10.28.92.100"
"AWTEMP02","10.28.92.101"
"AWBMCP01","10.28.92.41"
"AWAPPS45","10.28.92.45"
"AWAPPS46","10.28.92.46"
"AWAPPP45","10.28.92.47"
"AWAPPP46","10.28.92.48"
"AWRPTD20","10.28.92.50"
"AWDCMP11","10.28.92.60"
"AWDCFP11","10.28.92.61"
"AWDCMP12","10.28.92.62"
"AWDCFP12","10.28.92.63"
"AWRDCP70","10.28.92.70"
"AWDCMP14","10.28.92.71"
"AWDCMP15","10.28.92.72"
"AWAPPD33","10.28.92.80"
"AWAPPT33","10.28.92.81"
"AWAPPS33","10.28.92.82"
"AWSIMP05","10.28.93.101"
"AWSOLP01","10.28.93.20"
"AWRPTT20","10.28.93.50"
"AWRPTT21","10.28.93.51"
"AWIISP47","10.28.93.60"
"AWIIST45","10.28.93.61"
"AWIISP08","10.28.94.102"
"AWCTXT39","10.28.94.129"
"AWCTXP39","10.28.94.130"
"AWCTXP40","10.28.94.131"
"AWDCFD14","10.28.94.135"
"AWDCFD15","10.28.94.136"
"AWDCFT14","10.28.94.137"
"AWDCFT15","10.28.94.138"
"AWDCFS14","10.28.94.139"
"AWDCFS15","10.28.94.140"
"AWDCFP14","10.28.94.141"
"AWDCFP15","10.28.94.142"
"AWCTXP37","10.28.94.20"
"AWCTXP38","10.28.94.21"
"AWTPCP01","10.28.94.22"
"AWBCRP02","10.28.94.23"
"AWMOMT11","10.28.94.24"
"AWMOMT12","10.28.94.25"
"AWMOMT10","10.28.94.26"
"AWRPTP20","10.28.94.50"
"AWRPTP21","10.28.94.51"
"AWRPTP22","10.28.94.52"
"AWRPTP23","10.28.94.53"
"AZFFDC07","10.7.57.50"
"AZFFDC05","10.99.16.19"
"S199AP708","10.99.16.20"
"S199AP709","10.99.16.21"
"AZFFDC06","10.99.16.96"
